replicate	papers_combined	fraction_labels_with_shared_marker	mean_shared_markers
579	5	0.13513513513513514	0.16216216216216217
579	6	0.10810810810810811	0.10810810810810811
579	7	0.08108108108108109	0.08108108108108109
579	8	0.02702702702702703	0.02702702702702703
579	9	0.02702702702702703	0.02702702702702703
579	10	0.0	0.0
580	1	1.0	4.945945945945946
580	2	0.4594594594594595	0.918918918918919
580	3	0.24324324324324326	0.35135135135135137
580	4	0.21621621621621623	0.2702702702702703
580	5	0.1891891891891892	0.1891891891891892
580	6	0.05405405405405406	0.05405405405405406
580	7	0.02702702702702703	0.02702702702702703
580	8	0.02702702702702703	0.02702702702702703
580	9	0.02702702702702703	0.02702702702702703
580	10	0.02702702702702703	0.02702702702702703
581	1	1.0	4.54054054054054
581	2	0.43243243243243246	0.5945945945945946
581	3	0.32432432432432434	0.3783783783783784
581	4	0.16216216216216217	0.16216216216216217
581	5	0.10810810810810811	0.10810810810810811
581	6	0.08108108108108109	0.08108108108108109
581	7	0.08108108108108109	0.08108108108108109
581	8	0.02702702702702703	0.02702702702702703
581	9	0.0	0.0
581	10	0.0	0.0
582	1	1.0	4.783783783783784
582	2	0.5675675675675675	1.027027027027027
582	3	0.2972972972972973	0.3783783783783784
582	4	0.08108108108108109	0.10810810810810811
582	5	0.05405405405405406	0.05405405405405406
582	6	0.05405405405405406	0.05405405405405406
582	7	0.05405405405405406	0.05405405405405406
582	8	0.05405405405405406	0.05405405405405406
582	9	0.02702702702702703	0.02702702702702703
582	10	0.02702702702702703	0.02702702702702703
583	1	1.0	4.486486486486487
583	2	0.5945945945945946	1.0
583	3	0.3783783783783784	0.5405405405405406
583	4	0.24324324324324326	0.35135135135135137
583	5	0.13513513513513514	0.13513513513513514
583	6	0.05405405405405406	0.05405405405405406
583	7	0.05405405405405406	0.05405405405405406
583	8	0.05405405405405406	0.05405405405405406
583	9	0.02702702702702703	0.02702702702702703
583	10	0.0	0.0
584	1	1.0	4.243243243243243
584	2	0.5405405405405406	0.8918918918918919
584	3	0.24324324324324326	0.32432432432432434
584	4	0.1891891891891892	0.24324324324324326
584	5	0.1891891891891892	0.24324324324324326
584	6	0.08108108108108109	0.10810810810810811
584	7	0.02702702702702703	0.02702702702702703
584	8	0.02702702702702703	0.02702702702702703
584	9	0.0	0.0
584	10	0.0	0.0
585	1	1.0	5.216216216216216
585	2	0.6216216216216216	1.135135135135135
585	3	0.5135135135135135	0.6756756756756757
585	4	0.35135135135135137	0.40540540540540543
585	5	0.16216216216216217	0.16216216216216217
585	6	0.08108108108108109	0.08108108108108109
585	7	0.08108108108108109	0.08108108108108109
585	8	0.02702702702702703	0.02702702702702703
585	9	0.02702702702702703	0.02702702702702703
585	10	0.02702702702702703	0.02702702702702703
586	1	1.0	4.594594594594595
586	2	0.6486486486486487	1.0810810810810811
586	3	0.3783783783783784	0.6216216216216216
586	4	0.24324324324324326	0.35135135135135137
586	5	0.1891891891891892	0.2702702702702703
586	6	0.16216216216216217	0.1891891891891892
586	7	0.08108108108108109	0.10810810810810811
586	8	0.05405405405405406	0.05405405405405406
586	9	0.05405405405405406	0.05405405405405406
586	10	0.0	0.0
587	1	1.0	4.972972972972973
587	2	0.4864864864864865	0.8648648648648649
587	3	0.2972972972972973	0.40540540540540543
587	4	0.1891891891891892	0.24324324324324326
587	5	0.10810810810810811	0.16216216216216217
587	6	0.08108108108108109	0.13513513513513514
587	7	0.08108108108108109	0.10810810810810811
587	8	0.08108108108108109	0.10810810810810811
587	9	0.05405405405405406	0.05405405405405406
587	10	0.02702702702702703	0.02702702702702703
588	1	1.0	4.216216216216216
588	2	0.4594594594594595	0.8378378378378378
588	3	0.24324324324324326	0.35135135135135137
588	4	0.13513513513513514	0.16216216216216217
588	5	0.05405405405405406	0.05405405405405406
588	6	0.02702702702702703	0.02702702702702703
588	7	0.02702702702702703	0.02702702702702703
588	8	0.02702702702702703	0.02702702702702703
588	9	0.0	0.0
588	10	0.0	0.0
589	1	1.0	5.0
589	2	0.4594594594594595	0.7027027027027027
589	3	0.2702702702702703	0.32432432432432434
589	4	0.21621621621621623	0.24324324324324326
589	5	0.13513513513513514	0.13513513513513514
589	6	0.08108108108108109	0.08108108108108109
589	7	0.08108108108108109	0.08108108108108109
589	8	0.05405405405405406	0.05405405405405406
589	9	0.05405405405405406	0.05405405405405406
589	10	0.05405405405405406	0.05405405405405406
590	1	1.0	5.27027027027027
590	2	0.5675675675675675	1.2432432432432432
