replicate	comparison	metric	estimate
45	same_label_same_identifier	any_shared_marker	0.4596774193548387
45	same_label_no_accepted_identifier	any_shared_marker	0.5362903225806451
45	same_identifier_different_label	any_shared_marker	0.4112903225806452
45	different_identifier_matched_control	any_shared_marker	0.012096774193548387
45	same_label_same_identifier	marker_jaccard	0.11265414232088804
45	same_label_no_accepted_identifier	marker_jaccard	0.15287213845541145
45	same_identifier_different_label	marker_jaccard	0.07940114419893832
45	different_identifier_matched_control	marker_jaccard	0.00198252688172043
46	same_label_same_identifier	any_shared_marker	0.45161290322580644
46	same_label_no_accepted_identifier	any_shared_marker	0.5120967741935484
46	same_identifier_different_label	any_shared_marker	0.4274193548387097
46	different_identifier_matched_control	any_shared_marker	0.004032258064516129
46	same_label_same_identifier	marker_jaccard	0.10267748938395847
46	same_label_no_accepted_identifier	marker_jaccard	0.1148602673091422
46	same_identifier_different_label	marker_jaccard	0.09659455786412616
46	different_identifier_matched_control	marker_jaccard	0.0006720430107526881
47	same_label_same_identifier	any_shared_marker	0.4596774193548387
47	same_label_no_accepted_identifier	any_shared_marker	0.5
47	same_identifier_different_label	any_shared_marker	0.5040322580645161
47	different_identifier_matched_control	any_shared_marker	0.03225806451612903
47	same_label_same_identifier	marker_jaccard	0.10589626547287838
47	same_label_no_accepted_identifier	marker_jaccard	0.12071310679885157
47	same_identifier_different_label	marker_jaccard	0.0878156118075473
47	different_identifier_matched_control	marker_jaccard	0.006081989247311828
48	same_label_same_identifier	any_shared_marker	0.46774193548387094
48	same_label_no_accepted_identifier	any_shared_marker	0.5766129032258065
48	same_identifier_different_label	any_shared_marker	0.43951612903225806
48	different_identifier_matched_control	any_shared_marker	0.012096774193548387
48	same_label_same_identifier	marker_jaccard	0.09526079236284093
48	same_label_no_accepted_identifier	marker_jaccard	0.1525428470809462
48	same_identifier_different_label	marker_jaccard	0.09340746948076172
48	different_identifier_matched_control	marker_jaccard	0.001404089861751152
49	same_label_same_identifier	any_shared_marker	0.5080645161290323
49	same_label_no_accepted_identifier	any_shared_marker	0.5766129032258065
49	same_identifier_different_label	any_shared_marker	0.45564516129032256
49	different_identifier_matched_control	any_shared_marker	0.024193548387096774
49	same_label_same_identifier	marker_jaccard	0.12099321801224952
49	same_label_no_accepted_identifier	marker_jaccard	0.14698177490391362
49	same_identifier_different_label	marker_jaccard	0.08355218370339339
49	different_identifier_matched_control	marker_jaccard	0.00481266399135669
50	same_label_same_identifier	any_shared_marker	0.4717741935483871
50	same_label_no_accepted_identifier	any_shared_marker	0.5241935483870968
50	same_identifier_different_label	any_shared_marker	0.41935483870967744
50	different_identifier_matched_control	any_shared_marker	0.020161290322580645
50	same_label_same_identifier	marker_jaccard	0.11029982602079501
50	same_label_no_accepted_identifier	marker_jaccard	0.1540936693775503
50	same_identifier_different_label	marker_jaccard	0.08092364394250066
50	different_identifier_matched_control	marker_jaccard	0.0022546897546897545
51	same_label_same_identifier	any_shared_marker	0.5080645161290323
51	same_label_no_accepted_identifier	any_shared_marker	0.5766129032258065
51	same_identifier_different_label	any_shared_marker	0.4838709677419355
51	different_identifier_matched_control	any_shared_marker	0.020161290322580645
51	same_label_same_identifier	marker_jaccard	0.09994521565853834
51	same_label_no_accepted_identifier	marker_jaccard	0.1384456343498651
51	same_identifier_different_label	marker_jaccard	0.08820738842382579
51	different_identifier_matched_control	marker_jaccard	0.00164010496671787
52	same_label_same_identifier	any_shared_marker	0.5
52	same_label_no_accepted_identifier	any_shared_marker	0.5604838709677419
52	same_identifier_different_label	any_shared_marker	0.4596774193548387
52	different_identifier_matched_control	any_shared_marker	0.012096774193548387
52	same_label_same_identifier	marker_jaccard	0.11198340411912361
52	same_label_no_accepted_identifier	marker_jaccard	0.12781315077155214
52	same_identifier_different_label	marker_jaccard	0.07869418426818806
52	different_identifier_matched_control	marker_jaccard	0.0018450635386119255
53	same_label_same_identifier	any_shared_marker	0.4717741935483871
53	same_label_no_accepted_identifier	any_shared_marker	0.5685483870967742
53	same_identifier_different_label	any_shared_marker	0.49193548387096775
53	different_identifier_matched_control	any_shared_marker	0.020161290322580645
53	same_label_same_identifier	marker_jaccard	0.10195794042434035
53	same_label_no_accepted_identifier	marker_jaccard	0.13652883531041246
53	same_identifier_different_label	marker_jaccard	0.09508986065852763
53	different_identifier_matched_control	marker_jaccard	0.0022438618257803315
54	same_label_same_identifier	any_shared_marker	0.4475806451612903
54	same_label_no_accepted_identifier	any_shared_marker	0.592741935483871
54	same_identifier_different_label	any_shared_marker	0.45564516129032256
54	different_identifier_matched_control	any_shared_marker	0.012096774193548387
54	same_label_same_identifier	marker_jaccard	0.11690127329345937
54	same_label_no_accepted_identifier	marker_jaccard	0.14645445718151065
54	same_identifier_different_label	marker_jaccard	0.08484571544047351
