replicate	papers_combined	fraction_labels_with_shared_marker	mean_shared_markers
16	4	0.37037037037037035	0.48148148148148145
16	5	0.2222222222222222	0.25925925925925924
16	6	0.14814814814814814	0.18518518518518517
16	7	0.1111111111111111	0.14814814814814814
16	8	0.1111111111111111	0.14814814814814814
16	9	0.1111111111111111	0.1111111111111111
16	10	0.1111111111111111	0.1111111111111111
17	1	1.0	4.666666666666667
17	2	0.48148148148148145	0.7407407407407407
17	3	0.25925925925925924	0.37037037037037035
17	4	0.14814814814814814	0.18518518518518517
17	5	0.037037037037037035	0.037037037037037035
17	6	0.0	0.0
17	7	0.0	0.0
17	8	0.0	0.0
17	9	0.0	0.0
17	10	0.0	0.0
18	1	1.0	4.2592592592592595
18	2	0.37037037037037035	0.5555555555555556
18	3	0.1111111111111111	0.1111111111111111
18	4	0.037037037037037035	0.037037037037037035
18	5	0.0	0.0
18	6	0.0	0.0
18	7	0.0	0.0
18	8	0.0	0.0
18	9	0.0	0.0
18	10	0.0	0.0
19	1	1.0	4.851851851851852
19	2	0.4074074074074074	0.7777777777777778
19	3	0.25925925925925924	0.4074074074074074
19	4	0.18518518518518517	0.2222222222222222
19	5	0.1111111111111111	0.14814814814814814
19	6	0.1111111111111111	0.14814814814814814
19	7	0.1111111111111111	0.14814814814814814
19	8	0.037037037037037035	0.037037037037037035
19	9	0.037037037037037035	0.037037037037037035
19	10	0.037037037037037035	0.037037037037037035
20	1	1.0	5.62962962962963
20	2	0.5555555555555556	1.037037037037037
20	3	0.2962962962962963	0.4444444444444444
20	4	0.18518518518518517	0.2222222222222222
20	5	0.1111111111111111	0.14814814814814814
20	6	0.1111111111111111	0.14814814814814814
20	7	0.1111111111111111	0.14814814814814814
20	8	0.07407407407407407	0.07407407407407407
20	9	0.07407407407407407	0.07407407407407407
20	10	0.037037037037037035	0.037037037037037035
21	1	1.0	4.444444444444445
21	2	0.6666666666666666	1.1851851851851851
21	3	0.2222222222222222	0.2962962962962963
21	4	0.18518518518518517	0.18518518518518517
21	5	0.1111111111111111	0.1111111111111111
21	6	0.07407407407407407	0.07407407407407407
21	7	0.0	0.0
21	8	0.0	0.0
21	9	0.0	0.0
21	10	0.0	0.0
22	1	1.0	4.148148148148148
22	2	0.2962962962962963	0.5185185185185185
22	3	0.18518518518518517	0.25925925925925924
22	4	0.14814814814814814	0.14814814814814814
22	5	0.1111111111111111	0.1111111111111111
22	6	0.1111111111111111	0.1111111111111111
22	7	0.1111111111111111	0.1111111111111111
22	8	0.037037037037037035	0.037037037037037035
22	9	0.037037037037037035	0.037037037037037035
22	10	0.0	0.0
23	1	1.0	4.296296296296297
23	2	0.5925925925925926	0.7777777777777778
23	3	0.18518518518518517	0.18518518518518517
23	4	0.14814814814814814	0.14814814814814814
23	5	0.1111111111111111	0.1111111111111111
23	6	0.0	0.0
23	7	0.0	0.0
23	8	0.0	0.0
23	9	0.0	0.0
23	10	0.0	0.0
24	1	1.0	5.666666666666667
24	2	0.6296296296296297	1.0740740740740742
