label_a	label_b	papers
podocyte	stromal cell	4
regulatory t cell	tissue resident memory t cell	4
retinal ganglion cell	rod bipolar cell	4
schwann cell	vascular endothelial cell	4
smooth muscle cell	vascular endothelial cell	4
stromal cell	t cell	4
t cell	tuft cell	4
t cell	tumor associated macrophage	4
t helper 17 cell	t helper 2 cell	4
vascular smooth muscle cell	venous endothelial cell	4
aberrant basaloid cell	pericyte	3
aberrant basaloid cell	smooth muscle cell	3
absorptive enterocyte	goblet cell	3
acinar cell	b cell	3
acinar cell	duct cell	3
acinar cell	gamma cell	3
activated b cell	naïve b cell	3
activated b cell	regulatory t cell	3
activated dendritic cell	regulatory t cell	3
activated fibroblast	fibroblast	3
activated fibroblast	macrophage	3
activated microglia	microglia	3
activated t cell	b cell	3
activated t cell	natural killer cell	3
activated t cell	plasmacytoid dendritic cell	3
activated t cell	t cell	3
adipocyte	fibroblast	3
adipocyte	macrophage	3
adipocyte	mast cell	3
adipocyte	natural killer cell	3
adipocyte	vascular smooth muscle cell	3
adventitial fibroblast	club cell	3
adventitial fibroblast	fibroblast	3
adventitial fibroblast	goblet cell	3
adventitial fibroblast	pericyte	3
aii amacrine cell	horizontal cell	3
aii amacrine cell	rod bipolar cell	3
alpha cell	pancreatic stellate cell	3
alpha cell	stellate cell	3
alternatively activated macrophage	natural killer cell	3
alveolar fibroblast	club cell	3
alveolar fibroblast	fibroblast	3
alveolar fibroblast	goblet cell	3
alveolar fibroblast	pericyte	3
alveolar macrophage	club cell	3
alveolar macrophage	conventional dendritic cell type 1	3
alveolar macrophage	interstitial macrophage	3
alveolar macrophage	macrophage	3
alveolar macrophage	plasma cell	3
alveolar macrophage	regulatory t cell	3
alveolar macrophage	t cell	3
alveolar type 1 cell	endothelial cell	3
alveolar type 1 cell	fibroblast	3
alveolar type 1 cell	immune cell	3
alveolar type 1 cell	macrophage	3
alveolar type 1 cell	neuroendocrine cell	3
alveolar type 1 cell	secretory cell	3
alveolar type 2 cell	fibroblast	3
alveolar type 2 cell	macrophage	3
alveolar type 2 cell	neuroendocrine cell	3
alveolar type i cell	alveolar type ii cell	3
amacrine cell	intrinsically photosensitive retinal ganglion cell	3
amacrine cell	microglia	3
amacrine cell	müller cell	3
amacrine cell	off bipolar cell	3
amacrine cell	photoreceptor	3
amacrine cell	rod bipolar cell	3
amacrine cell	starburst amacrine cell	3
arterial endothelial cell	conventional dendritic cell type 2	3
arterial endothelial cell	gamma delta t cell	3
arterial endothelial cell	goblet cell	3
arterial endothelial cell	immune cell	3
arterial endothelial cell	monocyte	3
arterial endothelial cell	mucosal associated invariant t cell	3
arterial endothelial cell	non classical monocyte	3
arterial endothelial cell	t cell	3
arterial endothelial cell	vascular endothelial cell	3
arterial endothelial cell	vascular smooth muscle cell	3
arterial smooth muscle cell	endothelial cell	3
astrocyte	cone photoreceptor	3
astrocyte	dopaminergic neuron	3
astrocyte	homeostatic microglia	3
astrocyte	microglial cell	3
astrocyte	myelinating oligodendrocyte	3
astrocyte	progenitor cell	3
astrocyte	rod photoreceptor	3
astrocyte	t cell	3
astrocyte	vascular endothelial cell	3
b cell	blood endothelial cell	3
b cell	capillary endothelial cell	3
b cell	cd16 positive monocyte	3
b cell	ciliated cell	3
b cell	conventional dendritic cell	3
b cell	cycling cell	3
b cell	cytotoxic t cell	3
b cell	deuterosomal cell	3
b cell	ductal cell	3
b cell	enterochromaffin cell	3
b cell	enterocyte	3
b cell	germinal center b cell	3
b cell	glial cell	3
b cell	hematopoietic stem cell	3
b cell	ionocyte	3
b cell	langerhans cell	3
b cell	melanocyte	3
b cell	memory t cell	3
b cell	monocyte macrophage	3
b cell	myeloid dendritic cell	3
b cell	naive b cell	3
b cell	naïve b cell	3
b cell	naïve t cell	3
b cell	plasma b cell	3
b cell	retinal pigment epithelium cell	3
b cell	schwann cell	3
b cell	secretory cell	3
b cell	stem cell	3
b cell	stromal cell	3
b cell	suprabasal cell	3
b cell	t follicular helper cell	3
b cell	tissue resident memory t cell	3
b lymphocyte	fibroblast	3
b lymphocyte	immune cell	3
b lymphocyte	t lymphocyte	3
basal cell	deuterosomal cell	3
basal cell	epithelial cell	3
basal cell	monocyte	3
basal cell	multiciliated cell	3
basal cell	myoepithelial cell	3
basal epithelial cell	macrophage	3
basal keratinocyte	melanocyte	3
basal myoepithelial cell	lymphatic endothelial cell	3
best4 positive enterocyte	enteroendocrine cell	3
best4 positive enterocyte	goblet cell	3
best4 positive enterocyte	intestinal stem cell	3
best4 positive enterocyte	tuft cell	3
beta cell	pancreatic stellate cell	3
beta cell	stellate cell	3
bipolar cell	cone photoreceptor cell	3
bipolar cell	gabaergic amacrine cell	3
bipolar cell	intrinsically photosensitive retinal ganglion cell	3
bipolar cell	microglia	3
bipolar cell	photoreceptor	3
bipolar cell	rod bipolar cell	3
bipolar cell	rod photoreceptor cell	3
blood endothelial cell	myofibroblast	3
blood endothelial cell	pericyte	3
blood endothelial cell	plasma cell	3
blood endothelial cell	regulatory t cell	3
blood endothelial cell	smooth muscle cell	3
cancer associated fibroblast	inflammatory cancer associated fibroblast	3
capillary endothelial cell	classical monocyte	3
capillary endothelial cell	conventional dendritic cell type 2	3
capillary endothelial cell	vascular smooth muscle cell	3
cardiomyocyte	endocardial endothelial cell	3
cardiomyocyte	lymphatic endothelial cell	3
cardiomyocyte	pericyte	3
cd14 monocyte	natural killer cell	3
cd14 positive monocyte	plasmacytoid dendritic cell	3
cd14 positive monocyte	t cell	3
cd16 positive monocyte	natural killer cell	3
cd4 naive t cell	mucosal associated invariant t cell	3
cd4 positive t cell	regulatory t cell	3
cd4 t cell	fcgr3a monocyte	3
cd4 t cell	gamma delta t cell	3
cd4 t cell	memory b cell	3
cd4 t cell	plasmablast	3
cd4 t cell	platelet	3
cd8 effector memory t cell	cd8 t cell	3
cd8 effector memory t cell	plasmacytoid dendritic cell	3
cd8 positive t cell	fibroblast	3
cd8 positive t cell	megakaryocyte	3
cd8 positive t cell	memory t cell	3
cd8 positive t cell	mucosal associated invariant t cell	3
cd8 positive t cell	naive t cell	3
cd8 positive tissue resident memory t cell	natural killer cell	3
cd8 positive tissue resident memory t cell	plasma cell	3
cd8 t cell	conventional dendritic cell type 1	3
cd8 t cell	conventional dendritic cell type 2	3
cd8 t cell	fcgr3a monocyte	3
cd8 t cell	innate lymphoid cell	3
cd8 t cell	memory b cell	3
cd8 t cell	pericyte	3
cd8 t cell	platelet	3
central memory t cell	classical monocyte	3
central memory t cell	macrophage	3
central memory t cell	naive t cell	3
central memory t cell	tissue resident memory t cell	3
chief cell	endothelial cell	3
chief cell	fibroblast	3
chondrocyte	endothelial cell	3
chondrocyte	fibroblast	3
ciliated cell	dendritic cell	3
ciliated cell	epithelial cell	3
ciliated cell	mast cell	3
ciliated cell	t cell	3
classical monocyte	conventional dendritic cell type 2	3
classical monocyte	dendritic cell	3
classical monocyte	fibroblast	3
classical monocyte	germinal center b cell	3
classical monocyte	migratory dendritic cell	3
classical monocyte	pericyte	3
classical monocyte	plasmablast	3
club cell	epithelial cell	3
club cell	fibroblast	3
club cell	macrophage	3
club cell	neuroendocrine cell	3
club cell	pericyte	3
collecting duct cell	endothelial cell	3
collecting duct cell	loop of henle cell	3
collecting duct cell	nephron progenitor cell	3
cone photoreceptor	rod bipolar cell	3
conventional dendritic cell	myeloid cell	3
conventional dendritic cell type 1	epithelial cell	3
conventional dendritic cell type 1	fibroblast	3
conventional dendritic cell type 1	follicular helper t cell	3
conventional dendritic cell type 1	innate lymphoid cell	3
conventional dendritic cell type 1	mucosal associated invariant t cell	3
conventional dendritic cell type 1	pericyte	3
conventional dendritic cell type 2	endothelial cell	3
conventional dendritic cell type 2	epithelial cell	3
conventional dendritic cell type 2	langerhans cell	3
conventional dendritic cell type 2	memory b cell	3
conventional dendritic cell type 2	smooth muscle cell	3
conventional type 1 dendritic cell	conventional type 2 dendritic cell	3
cycling cell	endothelial cell	3
cycling cell	fibroblast	3
cycling cell	pericyte	3
cycling cell	plasma cell	3
cytotoxic cd8 t cell	macrophage	3
cytotoxic cd8 t cell	monocyte	3
cytotoxic cd8 t cell	natural killer cell	3
cytotoxic t cell	langerhans cell	3
cytotoxic t cell	macrophage	3
cytotoxic t cell	plasmacytoid dendritic cell	3
cytotoxic t cell	t cell	3
cytotoxic t lymphocyte	natural killer cell	3
cytotrophoblast	syncytiotrophoblast	3
decidual stromal cell	extravillous trophoblast	3
decidual stromal cell	syncytiotrophoblast	3
delta cell	immune cell	3
delta cell	pancreatic stellate cell	3
delta cell	stellate cell	3
dendritic cell	gamma delta t cell	3
dendritic cell	inflammatory macrophage	3
dendritic cell	myeloid cell	3
dendritic cell	natural killer t cell	3
dendritic cell	smooth muscle cell	3
dendritic cell	tissue resident memory t cell	3
dendritic cell	venous endothelial cell	3
dendritic cell type 1	natural killer cell	3
dendritic cell type 2	fibroblast	3
dendritic cell type 2	natural killer cell	3
deuterosomal cell	t cell	3
differentiating spermatogonia	leydig cell	3
differentiating spermatogonia	sertoli cell	3
distal nephron cell	distal tubule cell	3
distal nephron cell	nephron progenitor cell	3
distal tubule cell	endothelial cell	3
distal tubule cell	proximal tubule cell	3
distal tubule cell	stromal cell	3
dopaminergic neuron	endothelial cell	3
dopaminergic neuron	microglia	3
dopaminergic neuron	oligodendrocyte	3
dopaminergic neuron	oligodendrocyte precursor cell	3
effector cd8 positive t cell	exhausted cd8 positive t cell	3
effector memory t cell	naive t cell	3
effector memory t cell	regulatory t cell	3
endothelial cell	enterochromaffin cell	3
endothelial cell	enterocyte	3
endothelial cell	enteroendocrine cell	3
endothelial cell	fibroblast cell	3
endothelial cell	gabaergic neuron	3
endothelial cell	gamma delta t cell	3
endothelial cell	general capillary endothelial cell	3
endothelial cell	glial cell	3
endothelial cell	granulocyte	3
endothelial cell	hepatic stellate cell	3
endothelial cell	innate lymphoid cell	3
endothelial cell	interneuron	3
endothelial cell	leukocyte	3
endothelial cell	mucosal associated invariant t cell	3
endothelial cell	myofibroblastic cancer associated fibroblast	3
endothelial cell	neural cell	3
endothelial cell	plasma b cell	3
endothelial cell	plasmablast	3
endothelial cell	progenitor cell	3
endothelial cell	proximal tubule cell	3
endothelial cell	red blood cell	3
endothelial cell	schwann cell	3
endothelial cell	t lymphocyte	3
endothelial cell	t natural killer cell	3
endothelial cell	tumor cell	3
enterochromaffin cell	epithelial cell	3
enterochromaffin cell	fibroblast	3
enterochromaffin cell	intestinal stem cell	3
enterochromaffin cell	smooth muscle cell	3
enterochromaffin cell	tuft cell	3
enterocyte	interstitial cell of cajal	3
enterocyte	myeloid cell	3
enterocyte	plasma cell	3
enterocyte	plasmacytoid dendritic cell	3
enterocyte	smooth muscle cell	3
enterocyte	stem cell	3
enterocyte	t cell	3
enteroendocrine cell	glial cell	3
enteroendocrine cell	interstitial cell of cajal	3
enteroendocrine cell	lymphatic endothelial cell	3
enteroendocrine cell	smooth muscle cell	3
enteroendocrine cell	stem cell	3
ependymal cell	neuron	3
ependymal cell	oligodendrocyte progenitor cell	3
ependymal cell	pericyte	3
epithelial cell	gamma delta t cell	3
epithelial cell	inflammatory cancer associated fibroblast	3
epithelial cell	intestinal stem cell	3
epithelial cell	regulatory t cell	3
epithelial cell	secretory cell	3
epithelial cell	transit amplifying cell	3
epithelial cell	tuft cell	3
epsilon cell	pancreatic stellate cell	3
epsilon cell	pp cell	3
erythrocyte	macrophage	3
erythroid cell	granulocyte	3
erythroid cell	mast cell	3
erythroid cell	natural killer cell	3
excitatory neuron	intermediate progenitor cell	3
exhausted cd8 positive t cell	macrophage	3
exhausted cd8 positive t cell	naïve cd4 positive t cell	3
exhausted cd8 positive t cell	plasmacytoid dendritic cell	3
exhausted cd8 positive t cell	regulatory t cell	3
exhausted cd8 t cell	natural killer cell	3
exhausted cd8 t cell	regulatory t cell	3
exhausted t cell	regulatory t cell	3
extravillous trophoblast	villous cytotrophoblast	3
fibroblast	gamma delta t cell	3
fibroblast	helper t cell	3
fibroblast	inflammatory macrophage	3
fibroblast	innate lymphoid cell	3
fibroblast	intestinal stem cell	3
fibroblast	ionocyte	3
fibroblast	loop of henle cell	3
fibroblast	mesothelial cell	3
fibroblast	myelinating schwann cell	3
fibroblast	neuroendocrine cell	3
fibroblast	neuronal cell	3
fibroblast	neutrophil	3
fibroblast	paneth cell	3
fibroblast	papillary fibroblast	3
fibroblast	proliferating keratinocyte	3
fibroblast	retinal pigment epithelium cell	3
fibroblast	secretory cell	3
fibroblast	t helper 17 cell	3
fibroblast	t lymphocyte	3
fibroblast	tuft cell	3
gabaergic amacrine cell	müller glia	3
gabaergic amacrine cell	off bipolar cell	3
gabaergic amacrine cell	on bipolar cell	3
gabaergic amacrine cell	retinal ganglion cell	3
gabaergic amacrine cell	rod bipolar cell	3
gabaergic neuron	microglia	3
gabaergic neuron	oligodendrocyte	3
gabaergic neuron	oligodendrocyte precursor cell	3
gamma delta t cell	lymphatic endothelial cell	3
gamma delta t cell	memory b cell	3
gamma delta t cell	natural killer t cell	3
gamma delta t cell	non classical monocyte	3
gamma delta t cell	pericyte	3
gamma delta t cell	t cell	3
gamma delta t cell	t helper 17 cell	3
germinal center b cell	innate lymphoid cell type 3	3
germinal center b cell	non classical monocyte	3
germinal center b cell	plasma cell	3
germinal center b cell	regulatory t cell	3
glial cell	goblet cell	3
glial cell	mast cell	3
glial cell	myofibroblast	3
glial cell	natural killer cell	3
glial cell	paneth cell	3
glial cell	t cell	3
glial cell	tuft cell	3
glomerular endothelial cell	podocyte	3
goblet cell	interstitial cell of cajal	3
goblet cell	ionocyte	3
goblet cell	mesothelial cell	3
goblet cell	monocyte	3
goblet cell	myeloid cell	3
goblet cell	secretory cell	3
goblet cell	stromal cell	3
goblet cell	venous endothelial cell	3
granular keratinocyte	langerhans cell	3
granular keratinocyte	spinous keratinocyte	3
granulocyte	mast cell	3
granulocyte	regulatory t cell	3
group 1 innate lymphoid cell	group 2 innate lymphoid cell	3
helper t cell	regulatory t cell	3
hematopoietic stem and progenitor cell	megakaryocyte	3
hematopoietic stem and progenitor cell	monocyte	3
hematopoietic stem cell	t cell	3
hepatic stellate cell	kupffer cell	3
hepatocyte	mast cell	3
hepatocyte	t cell	3
horizontal cell	intrinsically photosensitive retinal ganglion cell	3
horizontal cell	müller cell	3
immune cell	langerhans cell	3
immune cell	melanocyte	3
immune cell	myeloid cell	3
immune cell	myoepithelial cell	3
immune cell	schwann cell	3
inflammatory cancer associated fibroblast	monocyte	3
inflammatory cancer associated fibroblast	myeloid cell	3
inflammatory cancer associated fibroblast	t cell	3
inflammatory macrophage	lymphatic endothelial cell	3
inflammatory macrophage	macrophage	3
inflammatory macrophage	pericyte	3
inflammatory macrophage	plasma cell	3
inflammatory macrophage	smooth muscle cell	3
inflammatory monocyte	macrophage	3
inhibitory neuron	reactive astrocyte	3
innate lymphoid cell	myeloid cell	3
innate lymphoid cell	pericyte	3
innate lymphoid cell	plasmacytoid dendritic cell	3
innate lymphoid cell type 3	macrophage	3
innate lymphoid cell type 3	memory b cell	3
innate lymphoid cell type 3	non classical monocyte	3
innate lymphoid cell type 3	regulatory t cell	3
innate lymphoid cell type 3	t cell	3
interstitial cell of cajal	intestinal stem cell	3
interstitial macrophage	macrophage	3
intestinal stem cell	lymphatic endothelial cell	3
intestinal stem cell	mast cell	3
intestinal stem cell	myofibroblast	3
intestinal stem cell	plasmacytoid dendritic cell	3
intestinal stem cell	smooth muscle cell	3
intestinal stem cell	transit amplifying cell	3
ionocyte	myoepithelial cell	3
ionocyte	neuroendocrine cell	3
ionocyte	pericyte	3
keratinocyte	mast cell	3
langerhans cell	monocyte	3
langerhans cell	pericyte	3
langerhans cell	spinous keratinocyte	3
lipid associated macrophage	pericyte	3
lymphatic endothelial cell	mesothelial cell	3
lymphatic endothelial cell	mural cell	3
lymphatic endothelial cell	paneth cell	3
lymphocyte	monocyte	3
