"cellType"	"gene"	"logFC"	"logDOR"	"Prop.Exp.in"	"Prop.Exp.Out"	"nCells.in"	"nCells.out"
"178"	"AT1"	"GAS6"	0.903873315635738	2.96531289975351	0.571699905033238	0.0643548371314788	1053	306597
"179"	"AT1"	"SCNN1A"	0.678225090394615	2.96479666559566	0.474833808167141	0.0445535996764482	1053	306597
"180"	"AT1"	"ARHGAP44"	0.801408335655371	2.96325100349254	0.544159544159544	0.0580664520526946	1053	306597
"181"	"AT1"	"DLC1"	1.32263228089915	2.92865779874621	0.754985754985755	0.141292967641562	1053	306597
"182"	"AT1"	"LMO3"	0.456654565915896	2.92726748122077	0.340930674264008	0.0269669957631679	1053	306597
"183"	"AT1"	"ATOH8"	0.436316635422265	2.91663440953656	0.298195631528965	0.0224953277429329	1053	306597
"184"	"AT1"	"ERBB3"	0.400920899054406	2.91369339789354	0.320987654320988	0.0250328607259693	1053	306597
"185"	"AT1"	"SGCE"	0.382463386086793	2.90472488805888	0.304843304843305	0.0234705492878273	1053	306597
"186"	"AT1"	"RHOBTB2"	0.38793909584425	2.90373240624103	0.288698955365622	0.0217842966499998	1053	306597
"187"	"AT1"	"COL4A1"	0.586280198429887	2.89306820458295	0.391263057929725	0.0344002061337847	1053	306597
"188"	"AT1"	"CLDN4"	0.833629470252894	2.88768110325651	0.54320987654321	0.0621173723161022	1053	306597
"189"	"AT1"	"SELENBP1"	0.457627071032032	2.88628422804573	0.342830009496676	0.0282944712440109	1053	306597
"190"	"AT1"	"SLC9C1"	0.585528773184994	2.8828506657924	0.400759734093067	0.0360962436031664	1053	306597
"191"	"AT1"	"TTLL7"	0.508459356733272	2.8719873617155	0.354226020892688	0.0301209731341142	1053	306597
"192"	"AT1"	"ABLIM1"	1.01815307633748	2.8582391165134	0.668566001899335	0.103653982263362	1053	306597
"193"	"AT1"	"PDPN"	0.385834033855963	2.85644053295517	0.292497625830959	0.0232291901094923	1053	306597
"194"	"AT1"	"EPS8L2"	0.74790269738114	2.83258900849973	0.514719848053181	0.0587579134825194	1053	306597
"195"	"AT1"	"SLC1A1"	0.589443570081238	2.8227413540746	0.408357075023742	0.0394230863315688	1053	306597
"196"	"AT1"	"ENSG00000282034"	0.453232007049855	2.80797686291879	0.35042735042735	0.0315365120989442	1053	306597
"197"	"AT1"	"COL4A2"	0.953917097350318	2.80474300919564	0.568850902184236	0.0739276640019309	1053	306597
"198"	"AT1"	"GALNT13"	0.364642234058243	2.79838027441938	0.246913580246914	0.01960227921343	1053	306597
"199"	"AT1"	"DANT2"	0.560399602937628	2.79694702609524	0.391263057929725	0.0377400953042593	1053	306597
"200"	"AT1"	"WWC2"	1.37466727027423	2.79250027586129	0.764482431149098	0.165689814316513	1053	306597
"201"	"AT1"	"CYR61"	0.68496874592688	2.77451453253349	0.43684710351377	0.0461648352723608	1053	306597
"202"	"AT1"	"TM4SF1"	0.854993300693058	2.77137902695984	0.506172839506173	0.0602713007628907	1053	306597
"203"	"AT1"	"FERMT2"	0.646091356856511	2.76898604481696	0.472934472934473	0.0532881926437636	1053	306597
"204"	"AT1"	"DHCR24"	1.08362023466533	2.76546076808886	0.655270655270655	0.106801436413272	1053	306597
"205"	"AT1"	"IL17RE"	0.300707996619074	2.76354437346686	0.219373219373219	0.0174398314399684	1053	306597
"206"	"AT1"	"FZD6"	0.456128229138574	2.76343994845576	0.346628679962013	0.0323975772757072	1053	306597
"207"	"AT1"	"CAVIN2"	0.501889244013618	2.76308395329184	0.379867046533713	0.0372280224529268	1053	306597
"208"	"AT1"	"TNFRSF12A"	0.857787689727632	2.76170223865793	0.540360873694207	0.0691330965404097	1053	306597
"209"	"AT1"	"CNN3"	0.697419138351846	2.76166323781204	0.514719848053181	0.062805572135409	1053	306597
"210"	"AT1"	"RBPMS"	0.966984570588711	2.75624573668378	0.63627730294397	0.099968362377975	1053	306597
"211"	"AT1"	"LRRC1"	0.477045909189731	2.75161190531063	0.35042735042735	0.0333043049997228	1053	306597
"212"	"AT1"	"PARVA"	0.640032316142606	2.74097966444142	0.459639126305793	0.0520226877627635	1053	306597
"213"	"AT1"	"SH3RF1"	0.910155134046645	2.73598768737	0.58309591642925	0.083109097610218	1053	306597
"214"	"AT1"	"PGGHG"	0.421397638328772	2.73481386842661	0.276353276353276	0.0242109348754228	1053	306597
"215"	"AT1"	"WWC1"	0.81068082112482	2.73375894122395	0.519468186134853	0.065623603622997	1053	306597
"216"	"AT1"	"SCD5"	0.522911019548144	2.72242879183284	0.37701804368471	0.038265214597664	1053	306597
"217"	"AT1"	"DDR1"	0.336948778855507	2.70943679677823	0.265906932573599	0.0235716592138866	1053	306597
"218"	"AT1"	"PRKG1"	1.03579585202944	2.70618937985983	0.644824311490978	0.108086510957381	1053	306597
"219"	"AT1"	"MYO5B"	0.508828085594037	2.69870578498386	0.369420702754036	0.037945576766896	1053	306597
"220"	"AT1"	"ENSG00000273088"	0.873993021873632	2.67071710879465	0.455840455840456	0.0548015799241349	1053	306597
"221"	"AT1"	"GALNT18"	0.658708030102651	2.66746362675034	0.471035137701804	0.0582295325785967	1053	306597
"222"	"AT1"	"ERBB2"	0.353886486229941	2.63996142532486	0.290598290598291	0.0284281972752506	1053	306597
"223"	"AT1"	"AGR3"	0.648941997099409	2.62774950232812	0.446343779677113	0.05504293910247	1053	306597
"224"	"AT1"	"DMKN"	0.450630290335975	2.62485105066169	0.359924026590693	0.0391654191006435	1053	306597
"225"	"AT1"	"MALL"	0.321255502098055	2.62202765854539	0.256410256410256	0.0244686021063481	1053	306597
"226"	"AT1"	"PAWR"	0.619874041231583	2.61276303035152	0.453941120607787	0.0574663157173749	1053	306597
"227"	"AT1"	"EXPH5"	0.452243349109905	2.60296748846839	0.345679012345679	0.0376716014833805	1053	306597
"228"	"AT1"	"OTUD7B"	0.598525988897604	2.597200134298	0.426400759734093	0.0524760516247713	1053	306597
"229"	"AT1"	"DSTN"	1.8500451737834	2.57981013943539	0.905982905982906	0.420972807953111	1053	306597
