"cellType"	"gene"	"log1p_FC"	"pct.copd"	"pct.ctrl"	"wilcox.p"	"wilcox.fdr"	"wilcox.bonferroni"
"50"	"ncMonocyte"	"CRYBG1"	0.598692203251342	1	0.961538461538462	0.000221076809726207	0.00143483184351715	0.0731764240193747
"51"	"ncMonocyte"	"LRRFIP1"	0.463458649778943	1	1	0.000221076809726207	0.00143483184351715	0.0731764240193747
"52"	"ncMonocyte"	"AKNA"	0.279134829086861	1	0.846153846153846	0.000246939865014728	0.00154923104959222	0.0817370953198751
"53"	"ncMonocyte"	"BCL2A1"	0.38863587155707	1	0.923076923076923	0.000248064186188482	0.00154923104959222	0.0821092456283877
"54"	"ncMonocyte"	"CSGALNACT2"	0.353950027505369	1	1	0.000274952580661029	0.00165471462179638	0.0910093041988007
"55"	"ncMonocyte"	"AKAP13"	0.513466150343056	1	1	0.000274952580661029	0.00165471462179638	0.0910093041988007
"56"	"ncMonocyte"	"RRP12"	0.255253966168973	1	0.884615384615385	0.000298164018182138	0.00176236232175514	0.0986922900182878
"57"	"ncMonocyte"	"FKBP5"	0.832825792129543	1	1	0.000306147032749448	0.00177780119017662	0.101334667840067
"58"	"ncMonocyte"	"PABPC1"	0.475911869570715	1	1	0.000378381803620589	0.00205318650817074	0.125244376998415
"59"	"ncMonocyte"	"EPB41L3"	-0.537557448447685	0.944444444444444	1	0.000378381803620589	0.00205318650817074	0.125244376998415
"60"	"ncMonocyte"	"CMIP"	-0.370668689093563	1	1	0.000378381803620589	0.00205318650817074	0.125244376998415
"61"	"ncMonocyte"	"ANKRD11"	0.537745799282131	1	1	0.000378381803620589	0.00205318650817074	0.125244376998415
"62"	"ncMonocyte"	"ADGRE5"	0.566690511687522	1	1	0.000420018899169473	0.00220676596230311	0.139026255625096
"63"	"ncMonocyte"	"DDX21"	0.323272222530016	1	0.961538461538462	0.000420018899169473	0.00220676596230311	0.139026255625096
"64"	"ncMonocyte"	"SMCHD1"	0.463975679006218	0.944444444444444	1	0.000465772889933332	0.00240891916512395	0.154170826567933
"65"	"ncMonocyte"	"RGS2"	0.458682859192493	1	1	0.000516000303406763	0.00258781970344907	0.170796100427638
"66"	"ncMonocyte"	"C1QA"	-0.622263111021448	1	1	0.000516000303406763	0.00258781970344907	0.170796100427638
"67"	"ncMonocyte"	"GFOD1"	0.398388831735437	1	0.769230769230769	0.000553263001155385	0.00262541342240119	0.183130053382432
"68"	"ncMonocyte"	"CXCL2"	-0.35997906665848	0.777777777777778	0.961538461538462	0.000557025438264025	0.00262541342240119	0.184375420065392
"69"	"ncMonocyte"	"CLIP4"	0.358936954353092	0.944444444444444	1	0.000571086907591799	0.00262541342240119	0.189029766412885
"70"	"ncMonocyte"	"ITM2B"	0.484003795896063	1	0.961538461538462	0.000571086907591799	0.00262541342240119	0.189029766412885
"71"	"ncMonocyte"	"YWHAZ"	0.334308599452206	1	1	0.000571086907591799	0.00262541342240119	0.189029766412885
"72"	"ncMonocyte"	"SERPINA1"	0.414785915700054	1	1	0.000571086907591799	0.00262541342240119	0.189029766412885
"73"	"ncMonocyte"	"JMJD1C"	0.415630041383729	1	1	0.000631443437205964	0.00286312024267362	0.209007777715174
"74"	"ncMonocyte"	"CHKA"	0.362294342069251	1	0.923076923076923	0.000669765573468705	0.00299584330835326	0.221692404818141
"75"	"ncMonocyte"	"MTHFD1L"	0.345336073327554	0.944444444444444	1	0.000697513303991469	0.00299840134572956	0.230876903621176
"76"	"ncMonocyte"	"AOAH"	-0.363992326833295	1	1	0.000697513303991469	0.00299840134572956	0.230876903621176
"77"	"ncMonocyte"	"CTSB"	-0.429668350689243	1	1	0.000697513303991469	0.00299840134572956	0.230876903621176
"78"	"ncMonocyte"	"FNBP1"	-0.380546770398632	1	1	0.000769767738190823	0.00322522938406535	0.254793121341162
"79"	"ncMonocyte"	"ENSG00000260272"	0.345903214655713	1	1	0.000769767738190823	0.00322522938406535	0.254793121341162
"80"	"ncMonocyte"	"RHOB"	0.397065514666753	1	0.923076923076923	0.000796745766284102	0.00329653560800047	0.263722848640038
"81"	"ncMonocyte"	"CBLB"	0.258218822264959	0.944444444444444	0.884615384615385	0.000828636910654115	0.00338615823983348	0.274278817426512
"82"	"ncMonocyte"	"CYTIP"	0.469283489487056	1	1	0.000848714326417558	0.00342590782980746	0.280924442044212
"83"	"ncMonocyte"	"FAM117B"	0.347483532547587	1	0.807692307692308	0.000938320316932849	0.00374197620367197	0.310584024904773
"84"	"ncMonocyte"	"LDHA"	0.27991181797284	0.944444444444444	0.961538461538462	0.00098686616925067	0.00382650330389421	0.326652702021972
"85"	"ncMonocyte"	"ZDHHC20"	0.396626753850257	0.944444444444444	0.961538461538462	0.00098686616925067	0.00382650330389421	0.326652702021972
"86"	"ncMonocyte"	"USP36"	-0.276255530584015	1	1	0.00102887853186279	0.00382650330389421	0.340558794046585
"87"	"ncMonocyte"	"LCP1"	-0.270607871066818	1	1	0.00102887853186279	0.00382650330389421	0.340558794046585
"88"	"ncMonocyte"	"PFKFB3"	-0.498113531496274	0.944444444444444	1	0.00102887853186279	0.00382650330389421	0.340558794046585
"89"	"ncMonocyte"	"SRGAP2B"	0.449880542334264	1	1	0.00102887853186279	0.00382650330389421	0.340558794046585
"90"	"ncMonocyte"	"FLVCR2"	0.32302624321159	1	0.961538461538462	0.00113128801835107	0.00416062593415783	0.374456334074204
"91"	"ncMonocyte"	"TPM3"	0.304890010595378	1	1	0.00124277753132866	0.00452043255900866	0.411359362869788
"92"	"ncMonocyte"	"CCNH"	0.301490960023217	1	0.884615384615385	0.00132258150097833	0.00475841822634596	0.437774476823829
"93"	"ncMonocyte"	"ENSG00000250644"	-0.3140104796015	1	1	0.00149582607934016	0.0053238541103397	0.495118432261592
"94"	"ncMonocyte"	"ITPR1"	-0.272550666776951	0.833333333333333	0.923076923076923	0.00155044592878846	0.00538488735524454	0.513197602428981
"95"	"ncMonocyte"	"RPL30"	0.512012270500845	1	0.846153846153846	0.00155640460264829	0.00538488735524454	0.515169923476583
"96"	"ncMonocyte"	"BORCS5"	0.376840373965114	1	0.923076923076923	0.0015617800184395	0.00538488735524454	0.516949186103476
"97"	"ncMonocyte"	"STK10"	-0.43947197226356	0.944444444444444	1	0.00163891427324677	0.00553551657596615	0.542480624444682
"98"	"ncMonocyte"	"H3F3A"	0.291514231297541	1	1	0.00163891427324677	0.00553551657596615	0.542480624444682
