source_corpus	paper_id	paper_key	relation	relation_label	marker_scope	marker_scope_label	n_profiles_with_comparison	paper_n_profiles	local_marker_lb_log2	atlas_marker_lb_log2	marker_lb_gap_log2	median_observed_union_recall	median_expected_union_recall	median_union_recall_lift	median_observed_mean_profile_recall	median_expected_mean_profile_recall	median_mean_profile_recall_lift
biorxiv	6ca25eee-7853-1014-8aed-fc8cff0a87e5	biorxiv:6ca25eee-7853-1014-8aed-fc8cff0a87e5	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	5	15	4	12	8	0.6666666666666666	0.1764831244294803	2.241139653119607	0.01639344262295082	0.0035971223021582736	6.836065573770492
hca	0274_10.1016_j.isci.2021.103592_3ec037cca1	hca:0274_10.1016_j.isci.2021.103592_3ec037cca1	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	9	4	12	8	1.0	0.44669017899978386	2.23868812660975	0.18018018018018017	0.008777179333732297	20.528255528255524
hca	0197_10.3389_fmed.2022.869284_8494fa8c76	hca:0197_10.3389_fmed.2022.869284_8494fa8c76	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	8	3	12	9	0.375	0.17347242984052075	2.161726796268148	0.016891891891891893	0.002654801076877057	6.362771221926151
hca	0139_10.1038_s41590-020-0602-z_71058e050d	hca:0139_10.1038_s41590-020-0602-z_71058e050d	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	5	10	4	12	8	0.8	0.15517109379040694	2.1481664219211734	0.07303370786516852	0.0035318766836276564	6.938548378507907
biorxiv	c55f45c7-7001-1014-966f-865cda24634e	biorxiv:c55f45c7-7001-1014-966f-865cda24634e	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	4	5	3	12	9	0.565359477124183	0.31028923668634334	2.145238463738464	0.015195119143547826	0.0030577084390241453	7.364870361622842
hca	0229_10.15252_msb.20178041_0277072a61	hca:0229_10.15252_msb.20178041_0277072a61	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	7	3	12	9	1.0	0.47568858174532586	2.125415107155649	0.09433610400682012	0.005382775119617225	16.20492146748161
hca	0243_10.1038_s41586-023-05915-x_2f4aafa6a2	hca:0243_10.1038_s41586-023-05915-x_2f4aafa6a2	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	8	18	5	12	7	0.8333333333333333	0.32732529980204994	2.096106886328502	0.03020333816586744	0.004000400040004	8.40184078002786
biorxiv	219b21d9-7007-1014-9157-ab439216a355	biorxiv:219b21d9-7007-1014-9157-ab439216a355	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	24	5	12	7	1.0	0.4814907255173127	2.0768832025281525	0.03355704697986577	0.004909327722673079	6.835365018490617
hca	0361_10.1016_j.gpb.2020.11.002_84c7c58535	hca:0361_10.1016_j.gpb.2020.11.002_84c7c58535	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	7	3	12	9	1.0	0.48273532938490166	2.071528514961177	0.00522875816993464	0.0025917065390749605	2.0174962292609346
hca	0134_10.3389_fimmu.2021.636720_9a958ecc4e	hca:0134_10.3389_fimmu.2021.636720_9a958ecc4e	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	5	8	3	12	9	1.0	0.40350390123598	2.047945653894561	0.028877887788778877	0.004307508226144181	6.814502038439138
