profile_i	profile_j	profile_id_i	profile_id_j	label_i	label_j	cl_id_i	cl_id_j	cl_label_i	cl_label_j	marker_jaccard	ontology_similarity	ontology_common_id	ontology_graph_distance	label_similarity	same_paper
8	10	2259	2449	ALVEOLAR MAC	ACTIVATED MEMORY CELL	CL:0000235	CL:0000910	macrophage	cytotoxic T cell	0.0	0.125	CL:0000842	7	0.0	False
8	11	2259	2737	ALVEOLAR MAC	NEUTROPHIL	CL:0000235	CL:0001064	macrophage	malignant cell	0.0	0.0	CL:0000000	7	0.0	False
8	12	2259	3111	ALVEOLAR MAC	MONOCYTE	CL:0000235	CL:0002057	macrophage	CD14-positive, CD16-negative classical monocyte	0.0	0.2	CL:0000766	4	0.0	False
8	13	2259	3291	ALVEOLAR MAC	MONOCYTE	CL:0000235	CL:0002057	macrophage	CD14-positive, CD16-negative classical monocyte	0.0	0.2	CL:0000766	4	0.0	False
8	14	2259	3472	ALVEOLAR MAC	CD4.9	CL:0000235	CL:0011025	macrophage	exhausted T cell	0.0	0.125	CL:0000842	7	0.0	False
8	15	2259	3509	ALVEOLAR MAC	CXCL9-POSITIVE	CL:0000235	CL:0000235	macrophage	macrophage	0.125	1.0	CL:0000235	0	0.0	False
8	16	2259	3819	ALVEOLAR MAC	CD8T_GZMB	CL:0000235	CL:0000910	macrophage	cytotoxic T cell	0.0	0.125	CL:0000842	7	0.0	False
8	17	2259	3856	ALVEOLAR MAC	DCS	CL:0000235	CL:0000841	macrophage	mature conventional dendritic cell	0.0	0.3333333333333333	CL:0000766	2	0.0	False
9	10	2263	2449	NK CELL	ACTIVATED MEMORY CELL	CL:0000623	CL:0000910	natural killer cell	cytotoxic T cell	0.0	0.125	CL:0000542	7	0.0	False
9	11	2263	2737	NK CELL	NEUTROPHIL	CL:0000623	CL:0001064	natural killer cell	malignant cell	0.0	0.0	CL:0000000	10	0.0	False
9	12	2263	3111	NK CELL	MONOCYTE	CL:0000623	CL:0002057	natural killer cell	CD14-positive, CD16-negative classical monocyte	0.0	0.1111111111111111	CL:0000842	8	0.0	False
9	13	2263	3291	NK CELL	MONOCYTE	CL:0000623	CL:0002057	natural killer cell	CD14-positive, CD16-negative classical monocyte	0.0	0.1111111111111111	CL:0000842	8	0.0	False
9	14	2263	3472	NK CELL	CD4.9	CL:0000623	CL:0011025	natural killer cell	exhausted T cell	0.0	0.125	CL:0000542	7	0.0	False
9	15	2263	3509	NK CELL	CXCL9-POSITIVE	CL:0000623	CL:0000235	natural killer cell	macrophage	0.0	0.14285714285714285	CL:0000842	6	0.0	False
9	16	2263	3819	NK CELL	CD8T_GZMB	CL:0000623	CL:0000910	natural killer cell	cytotoxic T cell	0.0	0.125	CL:0000542	7	0.0	False
9	17	2263	3856	NK CELL	DCS	CL:0000623	CL:0000841	natural killer cell	mature conventional dendritic cell	0.0	0.125	CL:0000738	7	0.0	False
10	11	2449	2737	ACTIVATED MEMORY CELL	NEUTROPHIL	CL:0000910	CL:0001064	cytotoxic T cell	malignant cell	0.0	0.0	CL:0000000	11	0.0	False
10	12	2449	3111	ACTIVATED MEMORY CELL	MONOCYTE	CL:0000910	CL:0002057	cytotoxic T cell	CD14-positive, CD16-negative classical monocyte	0.0	0.1	CL:0000842	9	0.0	False
10	13	2449	3291	ACTIVATED MEMORY CELL	MONOCYTE	CL:0000910	CL:0002057	cytotoxic T cell	CD14-positive, CD16-negative classical monocyte	0.0	0.1	CL:0000842	9	0.0	False
10	14	2449	3472	ACTIVATED MEMORY CELL	CD4.9	CL:0000910	CL:0011025	cytotoxic T cell	exhausted T cell	0.0	0.3333333333333333	CL:0000911	2	0.0	False
