group	target	rank	nnz	nnz_frac	mean	log_fc	p_raw	p_corr
LAM	ENSG00000135404	51.0	46.0	0.9787234042553191	1.3996027959128345	0.6929727734999911	1.1500299882722868e-15	3.874911042484643e-11
LAM	ENSG00000135678	336.0	36.0	0.7659574468085106	0.3544848259018758	0.2790767588127495	2.5413786508238433e-08	0.0008562921226085858
LAM	ENSG00000090382	100.0	38.0	0.8085106382978723	1.0570716377728049	0.7935134619930038	1.601283929478666e-08	0.0005395366071985417
LAM	ENSG00000131981	111.0	42.0	0.8936170212765957	0.9833198983378904	0.80426986672936	1.0092121388915013e-12	3.400439380781025e-08
LAM	ENSG00000119655	50.0	46.0	0.9787234042553191	1.404259039888687	0.7669725130673666	6.55277309471457e-18	2.2078913665331273e-13
LAM	ENSG00000182718	154.0	39.0	0.8297872340425532	0.788495123787448	0.42422994293629307	6.216610412947914e-07	0.020946247125386702
LAM	ENSG00000103811	378.0	31.0	0.6595744680851063	0.31921251042961446	0.23744196262871975	3.435836071557593e-07	0.011576706059506154
LAM	ENSG00000161921	456.0	34.0	0.723404255319149	0.2691703837779081	0.1900873376598501	1.3062351533768977e-06	0.04401228725788119
LAM	ENSG00000129226	94.0	44.0	0.9361702127659575	1.0778066110824198	0.8026128251491103	2.0544974169793785e-15	6.922423596770318e-11
LAM	ENSG00000030582	162.0	43.0	0.9148936170212766	0.760208755478298	0.5282854370194296	5.882147303480275e-11	1.9819307124346436e-06
LAM	ENSG00000088832	195.0	41.0	0.8723404255319149	0.581591422024161	0.2996347201619419	5.805679851714148e-07	0.01956165769236565
LAM	ENSG00000167468	188.0	42.0	0.8936170212765957	0.6202914559153473	0.2576642356477149	9.802689147758215e-07	0.03302918081445653
LAM	ENSG00000102575	174.0	39.0	0.8297872340425532	0.6906810292275074	0.5933026048363874	5.3215033025702546e-09	0.00017930273227680216
LAM	ENSG00000011600	26.0	46.0	0.9787234042553191	1.6298401184873312	0.751277147786299	2.4336795671613007e-17	8.200039933593286e-13
LAM	ENSG00000105223	158.0	43.0	0.9148936170212766	0.7736623347573038	0.6137481699588199	4.972670483636182e-11	1.6754915927563753e-06
LAM	ENSG00000130203	8.0	46.0	0.9787234042553191	2.2263623828938863	2.086671260043614	1.9684609823942878e-19	6.6325324340793134e-15
LAM	ENSG00000130208	58.0	44.0	0.9361702127659575	1.3160182230495259	1.2668925641456101	1.7094396709389763e-16	5.759786027261787e-12
LAM	ENSG00000042753	277.0	38.0	0.8085106382978723	0.41957102049944023	0.22034870736898785	8.668568181561317e-07	0.029207873630952702
LAM	ENSG00000087086	0.0	47.0	1.0	3.6594935705318026	1.1750396983117462	1.6454370429627567e-18	5.5441355725587127e-14
LAM	ENSG00000100097	77.0	43.0	0.9148936170212766	1.2012419300401043	0.4864818661459457	3.895212750606817e-07	0.013124529841894609
LAM	ENSG00000025708	304.0	38.0	0.8085106382978723	0.3795808529443956	0.23993992234350695	7.356594299106128e-07	0.02478730883140819
LAM	ENSG00000160213	73.0	42.0	0.8936170212765957	1.2303496565246572	0.8556584370970652	1.1989541573340921e-11	4.03975613772149e-07
LAM	ENSG00000160255	178.0	40.0	0.851063829787234	0.6695993259300852	0.4314918524806306	1.2082911944018697e-07	0.00407121635041766
Mac	ENSG00000142669	150.0	143.0	0.8614457831325302	0.789493643504445	0.20328820666912317	5.35092902625741e-07	0.018029420261071717
